Name,Difficulty,Authors,Time,Status,In collaboration with,Link
ChatGPT Prompt Engineering for Developers,Beginner to Advanced,"Isa Fulford, Andrew Ng",1 Hour,Free for a limited time,,https://learn.deeplearning.ai/chatgpt-prompt-eng/lesson/1/introduction
Building Systems with the ChatGPT API,Beginner to Advanced,"Isa Fulford, Andrew Ng",1 Hour,Free for a limited time,,https://learn.deeplearning.ai/chatgpt-building-system
LangChain for LLM Application Development,Beginner,"Harrison Chase, Andrew Ng",1 Hour,Free for a limited time,,https://learn.deeplearning.ai/langchain
LangChain: Chat with Your Data,Beginner,Harrison Chase,1 Hour,Free for a limited time,,http://learn.deeplearning.ai/langchain-chat-with-your-data/
Finetuning Large Language Models,Intermediate,Sharon Zhou,1 Hour,Free for a limited time,,https://learn.deeplearning.ai/finetuning-large-language-models
Large Language Models with Semantic Search,Beginner,"Jay Alammar, Luis Serrano",1 Hour,Free for a limited time,,https://learn.deeplearning.ai/large-language-models-semantic-search
Building Generative AI Applications with Gradio,Beginner,Apolin rio Passos,1 Hour,Free for a limited time,,https://learn.deeplearning.ai/huggingface-gradio/lesson/1/introduction
Evaluating and Debugging Generative AI Models Using Weights and Biases,Intermediate,Carey Phelps,1 Hour,Free for a limited time,,https://learn.deeplearning.ai/evaluating-debugging-generative-ai
How Diffusion Models Work,Intermediate,Sharon Zhou,1 Hour,Free for a limited time,,https://learn.deeplearning.ai/diffusion-models
Prompt Engineering with Llama 2,Beginner,Amit Sangani,1 Hour,Free for a limited time,,https://learn.deeplearning.ai/prompt-engineering-with-llama-2
Serverless LLM apps with Amazon Bedrock,Intermediate,Mike Chambers,1 Hour,Free for a limited time,,https://learn.deeplearning.ai/serverless-llm-apps-amazon-bedrock
Building Applications with Vector Databases,Beginner,Tim Tully,1 Hour,Free for a limited time,,https://learn.deeplearning.ai/building-applications-vector-databases
Automated Testing for LLMOps,Intermediate,Rob Zuber,1 Hour,Free for a limited time,,https://learn.deeplearning.ai/automated-testing-llmops
LLMOps,Beginner,Erwin Huizenga,1 Hour,Free for a limited time,,https://learn.deeplearning.ai/llmops
Build LLM Apps with LangChain.js,Intermediate,Jacob Lee,1 Hour,Free for a limited time,,https://learn.deeplearning.ai/build-llm-apps-with-langchain-js
Advanced Retrieval for AI with Chroma,Intermediate,Anton Troynikov,1 Hour,Free for a limited time,,https://learn.deeplearning.ai/advanced-retrieval-for-ai
Reinforcement Learning from Human Feedback,Intermediate,Nikita Namjoshi,1 Hour,Free for a limited time,,https://learn.deeplearning.ai/reinforcement-learning-from-human-feedback
Building and Evaluating Advanced RAG Applications,Beginner,"Jerry Liu, Anupam Datta",1 Hour,Free for a limited time,,https://learn.deeplearning.ai/building-evaluating-advanced-rag
Quality and Safety for LLM Applications,Beginner,Bernease Herman,1 Hour,Free for a limited time,,https://learn.deeplearning.ai/quality-safety-llm-applications
Vector Databases: from Embeddings to Applications,Intermediate,Sebastian Witalec,1 Hour,Free for a limited time,,https://learn.deeplearning.ai/vector-databases-embeddings-applications
Functions, Tools and Agents with LangChain,Intermediate,Harrison Chase,1 Hour,Free for a limited time,,https://learn.deeplearning.ai/functions-tools-agents-langchain
Pair Programming with a Large Language Model,Beginner,Laurence Moroney,1 Hour,Free for a limited time,,https://learn.deeplearning.ai/pair-programming-llm
Understanding and Applying Text Embeddings,Beginner,"Nikita Namjoshi, Andrew Ng",1 Hour,Free for a limited time,,https://learn.deeplearning.ai/google-cloud-vertex-ai
How Business Thinkers Can Start Building AI Plugins With Semantic Kernel,Beginner,John Maeda,1 Hour,Free for a limited time,,https://learn.deeplearning.ai/microsoft-semantic-kernel
